Genome project	Gene stable ID	Chromosome/scaffold name	Gene biotype	GO term name	InterPro short description	Paralogue gene stable ID
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001831
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001944
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001943
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00012276
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00017638
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00010036
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001945
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001947
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001937
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001891
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001933
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001901
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001929
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001916
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001919
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001883
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001906
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001887
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001880
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001914
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001876
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone-fold	WBGene00001899
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001831
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001944
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001943
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00012276
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00017638
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00010036
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001945
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001947
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001937
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001891
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001933
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001901
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001929
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001916
caenorhabditis_elegans_prjna13758	WBGene00001923	V	protein_coding	nucleus	Histone_H2A/H2B/H3	WBGene00001919
