Genome project	Gene stable ID	Chromosome/scaffold name	Gene biotype	GO term name	InterPro short description	Paralogue gene stable ID
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005079
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005108
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005094
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005106
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005088
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005099
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005090
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005087
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005080
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005086
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005093
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005082
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005101
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00021310
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005103
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005081
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005104
caenorhabditis_elegans_prjna13758	WBGene00005137	V	protein_coding	membrane	7TM_GPCR_serpentine_rcpt_Srd	WBGene00005109
